iter	RMSE
0	75.93713333
1	75.10665944
2	74.37898278
3	73.71472839
4	73.01740141
5	72.27548765
6	71.59971273
7	71.00568823
8	70.41096323
9	69.88423566
10	69.39235459
11	68.93463287
12	68.48610817
13	68.04391556
14	67.67005525
15	67.27780333
16	66.93385017
17	66.61475001
18	66.32131729
19	66.00833488
20	65.71122224
21	65.41263016
22	65.1508033
23	64.88251433
24	64.63774335
25	64.4190703
26	64.20268582
27	63.97074697
28	63.75706823
29	63.58620361
30	63.43898822
31	63.27690484
32	63.131466
33	62.98010387
34	62.8282004
35	62.7088845
36	62.61209663
37	62.53312436
38	62.42781109
39	62.32456891
40	62.23632116
41	62.14643714
42	62.05151855
43	61.97288071
44	61.88074953
45	61.80578031
46	61.74181182
47	61.67433917
48	61.62102472
49	61.56513468
50	61.51956388
51	61.43921679
52	61.38394569
53	61.33069853
54	61.28807721
55	61.24847953
56	61.1950921
57	61.14763295
58	61.11027651
59	61.05495168
60	61.01551235
61	60.98233514
62	60.95252625
63	60.91235713
64	60.88068018
65	60.8391016
66	60.78829122
67	60.76517867
68	60.74612183
69	60.71508032
70	60.68571059
71	60.64257234
72	60.63033223
73	60.59193881
74	60.56665861
75	60.53724383
76	60.52552758
77	60.50581797
78	60.48730663
79	60.4826197
80	60.45862823
81	60.42213855
82	60.3887203
83	60.34881238
84	60.33568129
85	60.3092677
86	60.28738614
87	60.2632455
88	60.23533489
89	60.22728133
90	60.19599339
91	60.15858229
92	60.14472723
93	60.11926368
94	60.10161086
95	60.09646286
96	60.07602545
97	60.06445048
98	60.04891597
99	60.02022807
100	59.99504774
101	59.97716378
102	59.96787611
103	59.95195926
104	59.94527716
105	59.92045326
106	59.90206316
107	59.8947336
108	59.87578314
109	59.86228122
110	59.85729301
111	59.84415594
112	59.8327266
113	59.82135563
114	59.80668117
115	59.79028752
116	59.78098611
117	59.76090925
118	59.74994913
119	59.72690473
120	59.72254319
121	59.6966399
122	59.66378412
123	59.64628172
124	59.63026494
125	59.61832992
126	59.59622879
127	59.58359409
128	59.56900987
129	59.55358349
130	59.53856971
131	59.53649988
132	59.505229
133	59.4811221
134	59.47193276
135	59.4602784
136	59.45471028
137	59.4423743
138	59.43869622
139	59.42376509
140	59.42026441
141	59.40470694
142	59.38832619
143	59.38192042
144	59.3709661
145	59.36653387
146	59.34306135
147	59.32862682
148	59.32496298
149	59.31245349
150	59.3054813
151	59.29959521
152	59.28274781
153	59.25601205
154	59.23890652
155	59.21909702
156	59.19031006
157	59.18389766
158	59.17137072
159	59.1522921
160	59.14082094
161	59.12573064
162	59.12309834
163	59.10782778
164	59.09898229
165	59.08557903
166	59.07798696
167	59.06700227
168	59.05799657
169	59.05506664
170	59.03120298
171	59.01667474
172	59.00919543
173	59.0033689
174	58.99720511
175	58.98083322
176	58.97457386
177	58.97412283
178	58.95673158
179	58.92619076
180	58.9165086
181	58.89151558
182	58.87338164
183	58.86251355
184	58.84428714
185	58.82369181
186	58.82173946
187	58.80829544
188	58.79639504
189	58.77339446
190	58.75278824
191	58.73216186
192	58.71351248
193	58.67822257
194	58.65677794
195	58.64756722
196	58.6255847
197	58.60971074
198	58.59897618
199	58.58076556
200	58.55729139
201	58.5254909
202	58.49663913
203	58.46701951
204	58.44575875
205	58.42111922
206	58.41721179
207	58.38130367
208	58.35564363
209	58.33715279
210	58.30981616
211	58.27733721
212	58.26809609
213	58.25736795
214	58.24869505
215	58.22920147
216	58.19721441
217	58.19291985
218	58.18365713
219	58.15979492
220	58.15041192
221	58.14805951
222	58.11010188
223	58.08220258
224	58.07316617
225	58.05531059
226	58.02086163
227	58.01350421
228	57.98053176
229	57.94552039
230	57.93906274
231	57.93196919
232	57.91573312
233	57.90061024
234	57.86904622
235	57.85142547
236	57.82833023
237	57.82417934
238	57.80961864
239	57.79554142
240	57.76417998
241	57.74034971
242	57.71178653
243	57.70472046
244	57.67633915
245	57.67104711
246	57.63872027
247	57.63539977
248	57.62538162
249	57.61045626
250	57.5792344
251	57.57490817
252	57.5652611
253	57.53778106
254	57.51180974
255	57.50080543
256	57.49261947
257	57.4784869
258	57.46894486
259	57.46256998
260	57.42518498
261	57.41420332
262	57.40297018
263	57.39796348
264	57.39184778
265	57.37251358
266	57.36782753
267	57.33072977
268	57.32691018
269	57.32234624
270	57.31470361
271	57.31010459
272	57.29886418
273	57.25800123
274	57.25271621
275	57.23486209
276	57.21696519
277	57.20148604
278	57.19826573
279	57.19373621
280	57.17868258
281	57.16346139
282	57.14913191
283	57.1369978
284	57.13370868
285	57.12049503
286	57.11774814
287	57.1101466
288	57.08050787
289	57.07662607
290	57.06522907
291	57.05045758
292	57.04448885
293	57.01862991
294	57.01442602
295	57.00499338
296	56.98055501
297	56.97410698
298	56.95104145
299	56.93424717
300	56.91469992
301	56.90025854
302	56.88779921
303	56.8836914
304	56.88056827
305	56.86406082
306	56.85884159
307	56.81948256
308	56.80550479
309	56.79562847
310	56.77335389
311	56.75396301
312	56.73538513
313	56.72091807
314	56.71781341
315	56.71480393
316	56.70421915
317	56.69193263
318	56.68017717
319	56.64313706
320	56.64038428
321	56.63714651
322	56.61951099
323	56.60485406
324	56.60274424
325	56.58981221
326	56.57954173
327	56.54682803
328	56.54424196
329	56.54048576
330	56.52546474
331	56.52193115
332	56.50952247
333	56.50342226
334	56.49238852
335	56.48946391
336	56.45524488
337	56.44579607
